group_id,weather_key
28,KUO
29,KUO
30,KUO
36,JOE
37,JOE
38,JOE
39,JOE
40,JOE
41,JOE
42,JOE
43,JOE
73,JOE
74,JOE
76,JOE
116,KUO
149,ROV
150,ROV
151,ROV
152,ROV
157,ROV
196,OUL
197,OUL
198,OUL
199,OUL
200,OUL
201,OUL
213,OUL
222,OUL
225,OUL
231,OUL
233,OUL
234,OUL
235,OUL
237,OUL
238,OUL
270,LAP
271,LAP
295,HAM
298,HAM
301,HAM
302,HAM
303,HAM
304,HAM
305,HAM
307,HAM
308,HAM
346,LAH
347,LAH
348,LAH
378,LAH
380,LAH
385,ESP
387,ESP
390,ESP
391,ESP
393,ESP
394,ESP
395,ESP
396,ESP
397,ESP
398,ESP
399,ESP
400,ESP
401,ESP
402,ESP
403,ESP
404,ESP
405,ESP
447,HEL
450,HEL
459,VAN
460,VAN
466,VAN
468,POR
469,POR
538,TUR
541,TUR
542,TUR
561,SEI
570,SEI
573,SEI
577,SEI
580,SEI
581,SEI
582,SEI
583,SEI
585,SEI
586,SEI
622,JYV
623,JYV
624,JYV
625,JYV
626,JYV
657,JYV
658,JYV
659,JYV
682,TAM
691,TAM
692,TAM
693,TAM
694,TAM
695,TAM
697,TAM
698,TAM
705,TAM
706,TAM
707,TAM
708,TAM
709,TAM
738,VAA
740,VAA
741,VAA
